# Photometry of EPIC-245950175
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 36.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457742.401992,137052,169578.547302,261.249695,169940.054142,169247.221651,False,False,False,False
2457742.422425,137053,169497.189392,263.703918,169848.848972,169150.832093,False,False,False,False
2457742.442857,137054,169514.490082,263.090363,169855.894825,169152.740600,False,False,False,False
2457742.463289,137055,169501.174133,263.090363,169835.498266,169127.254909,False,False,False,False
2457742.483722,137056,169671.867859,264.317444,169931.983321,169218.700250,False,True,True,True
2457742.504154,137057,169697.637085,265.544556,169872.797377,169154.525160,False,False,False,False
2457742.524586,137058,169649.656738,264.931000,169865.446399,169142.236666,False,False,False,False
2457742.545019,137059,169647.754089,264.317444,169899.618023,169171.523601,False,False,False,False
2457742.565451,137060,169615.420258,264.931000,169902.864542,169169.939371,False,False,False,False
2457742.585883,137061,169584.498962,264.931000,169899.265908,169161.564956,False,False,False,False
2457742.606316,137062,169543.268585,264.931000,169879.773411,169137.352831,False,False,False,False
2457742.626748,137063,169522.527985,264.317444,169878.939977,169131.856926,False,False,False,False
2457742.647180,137064,169537.440918,264.317444,169907.445264,169155.757963,False,False,False,False
2457742.667613,137065,169577.012177,263.090363,169954.782307,169198.550096,False,False,False,False
2457742.688045,137066,169519.889496,263.703918,169901.299330,169140.582517,False,False,False,False
2457742.708478,137067,169502.404388,263.703918,169884.408415,169119.268332,False,False,False,False
2457742.728910,137068,169755.800385,265.544556,169866.947856,169097.446911,False,True,True,True
2457742.749342,137069,169799.792633,266.158112,169826.670182,169052.871713,False,True,True,True
2457742.769775,137070,169866.917725,264.931000,169927.255014,169149.223340,False,False,False,False
2457742.790207,137071,169824.336029,265.544556,169923.241820,169141.042290,False,False,False,False
2457742.810639,137072,169785.312317,266.158112,169930.510531,169144.209383,False,False,False,False
2457742.831072,137073,169818.996674,264.317444,169994.969283,169204.633695,False,False,False,False
2457742.851504,137074,169735.984863,266.158112,169940.141798,169145.839908,False,False,False,False
2457742.871936,137075,169701.074036,266.158112,169941.093064,169142.893917,False,False,False,False
2457742.892369,137076,169626.526093,266.771667,169902.203253,169100.176729,False,False,False,False
2457742.912801,137077,169665.671875,264.931000,169972.083264,169166.300174,False,False,False,False
2457742.933233,137078,169594.622803,266.158112,169929.823095,169120.355111,False,False,False,False
2457742.953666,137079,169613.271851,265.544556,169971.021149,169157.940731,False,False,False,False
2457742.974098,137080,169615.234650,264.931000,169991.369500,169174.749990,False,False,False,False
2457742.994530,137081,169616.280365,264.931000,169998.894654,169178.810205,False,False,False,False
2457743.014963,137082,169649.104004,263.703918,170030.940071,169207.465581,False,False,False,False
